date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 10:45,1/21/2017 16:27,NA,29.68333333,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/23/2017 13:09,NA,74.4,1-2 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 22:30,NA,35.73333333,15-18 years,Female,PERU,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/22/2017 9:00,NA,46.23333333,9-11 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/22/2017 9:00,NA,46.23333333,6-8 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 16:27,NA,29.68333333,9-11 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/22/2017 9:00,NA,46.23333333,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 15:30,NA,28.73333333,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 15:30,NA,28.73333333,9-11 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/24/2017 9:28,NA,94.7,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 22:30,NA,35.73333333,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:50,1/21/2017 15:49,NA,28.96666667,15-18 years,Male,MEXICO,SBO,(b)(7)(E ),NA,BP
1/20/2017 11:35,1/23/2017 12:20,NA,72.75,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 11:35,1/23/2017 12:20,NA,72.75,6-8 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 11:35,1/23/2017 12:20,NA,72.75,1-2 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 11:35,1/23/2017 12:20,NA,72.75,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 6:37,NA,17.85,12-14 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/22/2017 15:05,NA,50.31666667,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 6:37,NA,17.85,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 6:35,NA,17.81666667,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 6:37,NA,17.85,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 13:08,NA,24.36666667,6-8 years,Female,NICARAGUA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/23/2017 12:32,NA,71.76666667,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 12:37,NA,23.85,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 12:45,1/21/2017 11:52,NA,23.1,1-2 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/21/2017 9:01,NA,19.85,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/21/2017 9:01,NA,19.85,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/25/2017 13:20,NA,120.1666667,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/25/2017 13:20,NA,120.1666667,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/25/2017 13:20,NA,120.1666667,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/25/2017 13:21,NA,120.1833333,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:10,1/25/2017 13:21,NA,120.1833333,9-11 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:37,1/21/2017 7:48,NA,18.18333333,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 9:00,NA,43.23333333,12-14 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/21/2017 17:25,NA,27.65,12-14 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 9:00,NA,43.23333333,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 1:27,NA,59.68333333,9-11 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/21/2017 15:30,NA,25.73333333,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 13:00,NA,47.23333333,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 8:29,NA,66.71666667,6-8 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 8:29,NA,66.71666667,6-8 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 16:02,NA,74.26666667,6-8 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/21/2017 15:30,NA,25.73333333,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 11:02,NA,45.26666667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 11:01,NA,45.25,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 11:16,NA,45.5,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 11:27,NA,45.68333333,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/21/2017 22:30,NA,32.73333333,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/22/2017 11:01,NA,45.26666667,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 9:15,NA,67.48333333,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:45,1/23/2017 9:15,NA,67.48333333,12-14 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:50,1/24/2017 17:30,NA,99.65,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:50,1/25/2017 8:18,NA,114.45,1-2 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 13:50,1/24/2017 17:30,NA,99.65,3-5 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:00,1/21/2017 17:15,NA,27.23333333,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:00,1/21/2017 15:30,NA,25.48333333,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 13:01,NA,46.75,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 13:01,NA,46.75,9-11 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 15:05,NA,48.81666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 18:13,NA,51.95,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 13:00,NA,46.73333333,3-5 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
