age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
26,14,5,3,-100,2,2,3,16,4,2,3,-100,-100,4,-100,-100,2,2,3,5,12,1,3
63,16,4,1,3,1,-100,1,1,5,2,8,-100,1,-100,3,0,3,2,3,6,2,-100,2
82,16,1,1,-100,1,-100,1,1,6,1,2,1,-100,1,-100,-100,4,2,1,7,0,-100,3
47,18,5,0,2,1,-100,1,1,6,2,1,-100,1,4,4,20,3,2,2,8,5,3,1
40,16,1,2,2,1,-100,1,1,4,3,3,-100,1,-100,2,1,3,2,2,8,5,1,2
71,17,1,0,-100,1,3,3,6,4,1,5,-100,-100,1,-100,-100,-100,-100,-100,-100,-100,-100,3
63,13,1,3,3,2,3,1,1,6,2,2,-100,2,-100,0,0,-100,-100,-100,-100,-100,-100,2
89,15,2,7,5,2,-100,1,1,4,2,2,-100,2,3,4,-100,-100,-100,-97,-100,-100,-100,1
61,16,1,3,3,1,3,1,1,6,2,7,-100,1,-100,3,1,3,2,1,10,0,3,2
52,12,1,3,4,1,-100,3,16,3,2,1,-100,1,4,6,0,6,2,1,10,0,-100,1
48,15,5,0,-100,1,1,2,2,2,1,0,1,-100,4,-100,-100,2,2,2,9,0,-100,3
40,16,5,0,2,1,-100,1,1,2,2,2,-100,1,-100,2,25,10,2,2,8,0,1,2
-99,15,1,1,1,1,-100,2,2,2,1,0,-100,2,1,4,0,24,2,2,-99,0,-100,1
44,12,1,3,2,1,-97,1,1,5,1,0,-100,1,-100,2,2,4,2,1,6,0,-100,2
42,12,1,3,3,1,-100,3,16,4,1,6,-100,1,-100,2,1,3,2,2,7,0,-100,2
46,16,4,0,8,1,-100,3,15,4,4,0,1,1,4,0,0,5,2,4,9,15,3,1
70,9,2,2,4,2,-100,1,1,3,2,5,-100,1,-100,5,-98,-100,-100,-100,-100,-100,-100,2
20,14,5,0,-100,2,2,2,2,1,11,4,1,-100,4,-100,-100,-100,-100,2,-100,-100,1,3
36,12,1,1,3,1,-100,3,3,5,-98,3,-100,1,-100,1,12,4,2,1,-98,0,-100,2
82,14,1,0,2,1,-100,1,1,4,2,2,-100,1,4,3,5,-100,-100,-100,-100,-100,-100,1
65,16,1,3,2,2,-100,1,1,6,2,8,-100,1,4,2,12,1,2,1,5,10,2,1
64,9,3,5,4,2,-100,1,1,3,2,5,-100,-98,2,3,0,-100,-100,2,-100,-100,-100,1
69,12,3,2,-100,2,3,-100,-99,2,2,0,1,-100,4,-100,-100,4,2,1,10,0,-100,3
-99,16,1,2,3,1,3,3,5,4,4,0,-100,1,-100,1,3,-100,-100,-97,-100,-100,1,2
65,16,3,0,2,2,-100,1,1,1,4,0,-100,1,4,2,10,2,2,1,6,5,-100,1
52,12,3,0,3,1,3,3,16,4,2,0,-100,1,-100,2,4,4,1,1,8,0,-100,2
61,16,1,2,-100,1,3,1,1,4,1,1,-100,-100,1,-100,-100,2,2,1,7,0,-100,3
31,18,5,0,-100,2,2,1,1,1,3,1,-100,-100,4,-100,-100,5,2,2,8,2,2,3
40,18,5,0,-100,1,1,3,16,4,2,0,-100,-100,4,-100,-100,0,2,4,5,0,-100,3
