hours work per week,number of children,age,education,sex,race,religious preference,religious services frequency,abortion,ideal number of children,sex education,homosexual,own gun,tv hours per week,email hours per week,racial discrimination at work,days of poor mental health,sexual orientation,ballot,life now,confidence in government
-100,0,34,16,1,1,1,0,1,3,1,4,2,20,8,2,0,-100,1,6,1
-100,0,29,16,2,1,2,1,-100,2,1,-100,-100,8,3,2,3,-100,2,8,-100
-100,0,87,15,1,1,4,0,-100,2,2,-100,-100,6,1,-100,-100,3,2,-100,-100
-100,0,41,16,2,1,4,0,-100,8,1,-100,-100,2,1,-99,0,3,2,-98,-100
-100,0,39,14,2,3,-99,0,-100,3,1,-100,-100,2,5,2,0,-100,2,7,2
-100,2,63,16,2,2,1,8,1,-100,-100,3,2,-100,-100,2,10,3,3,9,-100
-100,4,41,16,2,1,1,2,1,-100,-100,4,2,-100,-100,2,4,1,3,9,2
-100,1,68,13,2,1,4,0,-100,8,1,-100,-100,2,5,2,0,-100,2,9,2
-100,3,74,12,2,1,2,7,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,5,50,3,2,2,4,4,-100,0,2,-100,-100,4,-100,-100,-100,-98,2,-100,2
-100,1,53,18,2,2,1,5,-100,3,1,4,2,2,2,2,0,-100,1,7,-100
-100,1,34,16,1,3,11,5,-100,2,1,-100,-100,0,40,2,2,-100,2,-98,-100
-100,3,62,12,1,2,1,-97,-100,2,1,1,2,2,30,-100,-100,-100,1,-100,-100
-100,2,54,16,2,3,1,2,-100,3,1,-100,-100,3,25,-100,-100,-100,2,-100,-100
-100,0,37,16,2,1,10,5,-100,3,1,-100,-100,2,60,2,0,3,2,10,-100
-100,2,65,12,1,1,2,1,-100,2,1,-100,-100,4,0,-100,-100,-100,2,-100,2
-100,2,42,16,1,1,2,0,1,-100,-100,4,1,-100,-100,2,2,3,3,10,2
-100,5,47,12,2,1,1,3,-100,-100,-100,4,1,-100,-100,2,10,3,3,8,-100
-100,0,49,18,1,1,2,7,2,3,1,3,2,3,10,2,0,-100,1,8,1
-100,2,-99,18,1,1,3,5,1,3,1,4,2,0,8,2,0,-100,1,9,1
-100,0,-99,18,2,3,4,0,-100,2,1,-100,-100,2,8,2,4,3,2,9,-100
-100,0,64,18,1,1,1,0,-100,2,1,4,2,1,10,2,0,-100,1,10,-100
-100,-100,60,16,1,1,2,7,-97,-100,-97,-97,2,1,10,-100,-100,-100,1,-100,-100
-100,3,45,12,1,1,4,0,1,2,1,4,2,3,20,2,0,-100,1,9,-100
-100,1,56,20,1,3,4,0,-100,2,1,4,2,4,5,-100,-100,-100,1,-100,2
-100,0,30,16,2,3,4,2,-100,2,1,-100,-100,0,1,2,2,-100,2,8,1
-100,3,74,18,1,1,1,2,-100,8,1,-100,-100,2,4,-100,-100,-100,2,-100,2
-100,0,-99,16,1,2,4,1,-100,8,1,4,2,3,0,-100,-100,-100,1,-100,-100
-100,0,25,13,2,1,2,2,-100,2,1,-100,-100,3,2,2,5,-100,2,9,-100
