location,sex,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years
Eastern Africa,M,23348,20411,17857,15482,12780,10504,8198,6331,5027,4034,3286,2584,1890,1294,790,528
Eastern Africa,F,23094,20282,17838,15551,12868,10487,8115,6354,5280,4489,3777,2990,2226,1563,992,734
Burundi,M,509,486,486,461,390,293,213,169,143,120,95,59,41,27,16,11
Burundi,F,509,486,488,466,398,301,218,175,155,140,118,80,59,41,26,20
Comoros,M,54,43,35,32,33,26,21,17,14,11,8,5,4,3,1,1
Comoros,F,52,42,34,32,32,26,20,17,14,11,9,5,4,3,2,1
Djibouti,M,53,51,51,46,39,33,27,23,18,14,11,9,6,4,2,1
Djibouti,F,52,50,50,45,38,32,27,23,19,15,12,10,7,5,3,2
Eritrea,M,367,300,274,254,231,229,165,95,61,49,41,35,25,14,7,4
Eritrea,F,360,296,273,258,239,229,164,99,68,66,59,49,36,22,13,10
Ethiopia,M,5823,5462,4833,3962,3153,2573,2163,1780,1439,1134,917,758,555,367,211,134
Ethiopia,F,5761,5423,4816,3969,3198,2589,2151,1804,1499,1216,1005,826,623,429,259,183
Kenya,M,2873,2422,2164,2070,1782,1425,1081,793,608,487,394,285,186,141,96,69
Kenya,F,2842,2400,2150,2067,1781,1398,1013,761,639,552,459,329,214,166,115,87
Madagascar,M,1487,1332,1128,923,724,670,562,455,373,302,239,158,115,87,58,44
Madagascar,F,1473,1330,1129,927,729,677,570,463,380,309,246,171,132,100,66,47
Malawi,M,1111,965,839,685,553,490,351,251,201,162,135,126,91,62,37,21
Malawi,F,1089,949,830,681,545,465,326,247,218,194,164,149,104,72,44,29
Mauritius,M,50,52,56,53,48,57,47,50,53,39,33,25,15,9,6,6
Mauritius,F,48,50,55,52,47,57,48,51,54,40,34,28,19,13,9,12
Mayotte,M,15,11,8,7,5,7,9,5,4,3,2,1,1,1,0,1
Mayotte,F,14,11,10,8,10,9,7,4,3,2,2,1,1,1,0,0
Mozambique,M,1765,1461,1240,1058,891,704,517,401,342,291,243,188,140,96,56,36
Mozambique,F,1754,1457,1244,1064,888,756,651,528,429,353,286,231,182,128,79,56
Réunion,M,38,35,36,37,33,27,25,30,29,24,20,14,10,8,6,6
Réunion,F,37,33,34,36,32,28,28,33,32,26,21,15,12,10,8,10
Rwanda,M,724,620,530,566,461,344,249,195,164,134,103,85,53,36,24,14
Rwanda,F,729,627,537,577,475,364,280,215,174,146,118,95,61,43,30,22
Somalia,M,692,573,466,398,316,311,248,202,162,131,103,72,50,34,19,12
Somalia,F,688,572,467,401,321,318,255,210,171,140,114,80,58,42,23,16
Uganda,M,2687,2197,1825,1513,1241,996,784,581,426,329,269,212,162,102,70,45
Uganda,F,2646,2195,1846,1533,1246,984,747,530,411,357,317,250,190,121,87,62
United Republic of Tanzania,M,3311,2749,2372,2072,1756,1452,1132,867,676,543,438,360,268,183,107,71
United Republic of Tanzania,F,3263,2718,2359,2070,1749,1426,1080,828,687,594,500,424,319,222,136,100
Zambia,M,989,847,702,605,515,431,330,237,170,130,108,98,76,53,30,19
Zambia,F,981,840,698,603,508,414,300,207,162,146,134,118,91,63,38,27
Zimbabwe,M,799,801,808,735,605,432,270,177,143,128,123,94,91,67,43,33
Zimbabwe,F,795,799,814,757,628,412,226,159,162,178,178,127,114,81,54,47
Middle Africa,M,9447,8050,6939,5856,4806,3875,3102,2485,2002,1598,1269,966,717,475,268,163
Middle Africa,F,9385,8006,6909,5860,4822,3880,3102,2513,2071,1708,1401,1103,848,587,354,246
Angola,M,1511,1248,1023,848,697,565,447,364,296,233,180,128,94,62,35,20
Angola,F,1502,1248,1034,867,712,574,456,377,315,256,203,146,111,76,45,30
Cameroon,M,1319,1145,1078,960,827,669,526,413,331,267,222,173,132,91,54,36
Cameroon,F,1303,1132,1067,952,821,655,512,412,345,289,244,194,151,107,67,50
Central African Republic,M,293,266,236,214,182,147,116,90,72,60,50,40,32,23,13,9
Central African Republic,F,297,270,240,219,186,147,110,87,77,70,59,48,39,28,18,13
Chad,M,842,710,603,508,423,342,270,212,173,144,117,86,66,43,23,12
Chad,F,837,706,599,506,422,341,270,216,183,158,133,96,76,53,31,19
Congo,M,274,239,208,186,166,144,119,95,73,57,45,35,27,20,12,9
Congo,F,269,236,205,184,165,143,117,91,72,58,49,40,31,23,15,12
Democratic Republic of the Congo,M,5063,4304,3659,3025,2415,1930,1556,1250,1001,791,621,480,349,225,123,70
Democratic Republic of the Congo,F,5035,4280,3634,3018,2422,1944,1569,1268,1026,834,680,557,424,287,168,112
Equatorial Guinea,M,45,40,36,32,25,19,21,23,22,17,11,6,4,3,2,1
Equatorial Guinea,F,44,39,36,32,23,17,19,21,19,15,9,5,4,3,2,2
Gabon,M,89,87,86,74,63,53,44,37,32,26,22,16,12,8,5,5
Gabon,F,87,86,85,73,63,53,45,37,31,26,22,16,12,9,7,7
Sao Tome and Principe,M,11,11,9,8,8,6,4,3,2,2,2,1,1,1,1,0
Sao Tome and Principe,F,11,10,9,8,8,6,4,3,3,3,2,1,1,1,1,1
Northern Africa,M,11187,10577,10532,10441,9580,7933,6647,5845,5117,4430,3502,2637,1768,1342,862,571
Northern Africa,F,10705,10148,10168,10213,9564,8040,6777,5920,5192,4436,3527,2801,1998,1620,1061,809
Algeria,M,1611,1533,1824,1895,1849,1575,1331,1144,958,728,593,370,264,218,152,93
Algeria,F,1538,1465,1749,1824,1791,1535,1303,1121,936,712,590,419,300,265,186,150
Egypt,M,4346,4124,3997,4138,3690,2942,2396,2241,2050,1779,1423,1174,732,535,330,225
Egypt,F,4152,3951,3854,4019,3657,2959,2386,2196,2018,1818,1467,1254,843,651,436,329
Libyan Arab Jamahiriya,M,337,288,278,296,348,293,245,186,150,133,97,72,56,37,24,16
Libyan Arab Jamahiriya,F,319,273,265,286,342,294,253,196,150,111,89,66,54,39,25,22
Morocco,M,1490,1538,1597,1536,1405,1147,1013,901,824,835,617,428,290,240,153,108
